Periodic_Payment,Interest_Rate,Periods,Compounding_Frequency
3195.254015709299,0.03993071925158795,22,semi-annual
3860.757465489678,0.017208108292651604,17,annual
3411.0535042865754,0.02556092578129931,4,annual
3179.5327319875873,0.011504007262592503,17,semi-annual
2694.619197355619,0.010471509567228972,1,monthly
3583.5764522666245,0.04985071486539378,26,monthly
2750.3488450507703,0.029527866322217475,5,monthly
4567.0920031283185,0.024880990558876798,16,monthly
4854.651042004118,0.017846883782559133,25,quarterly
2533.7660753031105,0.042287689803541854,15,quarterly
4166.900152330658,0.03823010878120592,22,annual
3115.579679011618,0.010062247917185286,29,annual
3272.1782443757293,0.04084906692160945,26,quarterly
4702.386553170644,0.014459309806028397,11,monthly
1284.144232791548,0.04794530720736133,2,annual
1348.517198806163,0.02330944335822023,26,monthly
1080.8735897613028,0.028044111013060445,5,semi-annual
4330.479382191752,0.010199236226950138,9,semi-annual
4112.627003799402,0.04297570753777887,24,semi-annual
4480.048592987277,0.02232673016920949,7,monthly
4914.473368931056,0.03225787504677788,23,quarterly
4196.634256866894,0.047064031882386975,4,annual
2845.9174490117275,0.016248895328622545,18,semi-annual
4122.1167051458215,0.04469318451723687,7,monthly
1473.097703475733,0.03000955723370219,4,monthly
3559.6840853100953,0.046978246962264825,10,monthly
1573.4131496361856,0.042894202007457034,12,monthly
4778.675668198335,0.027719201226363552,12,monthly
3087.393287000287,0.013548470828589761,18,annual
2658.6477599620944,0.011207898195281025,27,annual
2058.222448418508,0.044969232393363034,24,monthly
4096.934757736866,0.028971396698334748,26,monthly
2824.6013288661943,0.03654779631711006,9,quarterly
3273.735795474594,0.0452659365683541,3,semi-annual
1075.1592017454207,0.022186359659387887,27,annual
3470.5419883035083,0.045830520735653905,8,semi-annual
3448.3828908896858,0.011101297577107535,19,semi-annual
3467.7359874990275,0.0211970271493653,18,semi-annual
4774.992314058496,0.04247065580398495,18,semi-annual
3727.2811964139337,0.04412881273294587,4,monthly
2438.031602295144,0.04779341581430346,8,quarterly
2748.1278151973656,0.02212045089855614,29,monthly
3790.5247837090596,0.04120942342464546,16,annual
1240.9018865170792,0.0494052121059534,24,semi-annual
3667.066861782671,0.03108024060447019,12,quarterly
3682.5514784726374,0.02010385158552086,15,quarterly
1841.5302442953634,0.011558492615887267,10,semi-annual
1515.7051906194133,0.04038612251135237,14,monthly
2261.7134036967354,0.015553815377538678,20,semi-annual
2454.8430837704905,0.025477704257238512,18,semi-annual
3280.7870816715185,0.022371115266130157,28,semi-annual
2754.4060538492813,0.026674026918146077,9,monthly
4953.495352236905,0.04623995979730252,13,semi-annual
1408.1792429921122,0.027037910448874478,19,semi-annual
1835.5070243793389,0.04650977250494492,22,quarterly
1645.238071539985,0.042216034388028546,18,quarterly
3612.433301861594,0.02153513328274017,28,monthly
2013.1664101591284,0.022723560762053292,2,quarterly
2865.2430914252254,0.02479376898405702,26,quarterly
1977.702368006411,0.03422588766480408,28,annual
1635.8783345820789,0.036962500685652426,5,semi-annual
1441.5005646572206,0.04888919342824814,24,quarterly
3625.318357861094,0.047060642539882465,28,annual
1552.7318053944553,0.03447486885702798,5,monthly
1786.329446720214,0.011849551179964437,27,annual
2474.9006826438563,0.03181230481570804,5,annual
4283.972919391741,0.026145608850911037,25,annual
1388.4051031722452,0.03179114901727662,9,quarterly
4351.779629995215,0.011607054930396678,19,quarterly
1384.3936315758524,0.04983048829708709,24,annual
4905.837860053583,0.012278334816784035,1,quarterly
2874.604806590806,0.020907197373331722,25,quarterly
4907.044352761348,0.0128849611575199,2,monthly
3419.382078980184,0.031904444240170825,8,monthly
3957.0543175932066,0.024072731862166255,18,quarterly
1156.7511690172828,0.02501199371410865,28,monthly
2131.2278503056386,0.04156670083431756,16,monthly
1480.7862448526757,0.04616080462277275,5,semi-annual
2184.56079008858,0.016627879324634567,3,annual
1474.9108758169762,0.021159077602398282,5,semi-annual
2271.932717575904,0.028909144807863392,5,quarterly
2657.05197805868,0.014515266805679529,1,semi-annual
1256.5899853951373,0.025461523282064108,14,monthly
3769.8884774800795,0.02208352182459538,29,semi-annual
3266.4058168263005,0.04687905348133731,23,semi-annual
2061.5579637577816,0.01794136481741991,23,quarterly
3092.9922138667985,0.038848455922935225,17,monthly
1375.7620430337668,0.018635728350138218,5,monthly
3303.785982224717,0.035026335150482354,5,annual
4717.1847903048565,0.03327962912561923,24,semi-annual
2274.2758098052946,0.028348971708380327,14,monthly
3669.6415198547265,0.042676292087277114,24,monthly
1527.1914496175687,0.0189086877751276,8,monthly
3865.308816474262,0.029091208960996262,3,quarterly
2157.6243717888046,0.04929670405692766,12,annual
1732.7654480284673,0.01733047157152936,3,semi-annual
3346.0517392403326,0.031817298193614854,23,semi-annual
1080.4301847499742,0.02172423133233886,8,semi-annual
4315.760116869453,0.014952242380043375,18,monthly
1018.7819047701882,0.04406371923570169,3,monthly
3711.2661471849206,0.03310715366286526,6,annual
2080.0318927686594,0.03315317054041184,15,annual
3940.7760884903796,0.03181338949058706,7,semi-annual
4848.754180469753,0.017378724272807004,25,monthly
1995.0125740798321,0.032745326623447,2,quarterly
3304.6293376713475,0.013655560577416606,17,annual
3368.167725087356,0.03730567481679188,4,semi-annual
3289.0076231634935,0.012058286722381021,14,quarterly
1892.3265305624732,0.017566044678867576,4,monthly
4810.9960460679395,0.021768711883766594,4,annual
2788.5015144705094,0.02115724870639516,27,annual
4385.634689884511,0.0424840915584129,15,quarterly
3797.917101270017,0.021510025784069964,23,monthly
2189.7478034205346,0.012958316084875228,12,annual
4255.191278809909,0.012719307743395731,8,annual
2586.0229633879385,0.015976540775397535,3,semi-annual
4524.412788444646,0.025767676018496943,27,quarterly
3325.0914905434347,0.017872569349441425,1,quarterly
4526.941447419411,0.01940089437949991,13,annual
3770.1263603110633,0.01735902621981307,9,annual
3901.017119278562,0.02194941588858082,24,annual
3005.297527706809,0.03019434914492416,2,quarterly
4824.334538892896,0.048853882867370586,28,quarterly
3575.9607969185495,0.041679617675051316,16,quarterly
2695.420194232719,0.016900828138406175,29,semi-annual
3425.5728565116974,0.04211402761643329,22,monthly
1076.772793237334,0.03840372119589945,22,quarterly
2206.2992666981972,0.04623193639593646,24,semi-annual
3640.69414997074,0.027388269340976906,25,monthly
2160.3104288417762,0.044683947302558195,4,quarterly
3472.0617159953663,0.03792361010110942,26,quarterly
2715.0748037830645,0.02092370304451773,19,semi-annual
1541.896256889801,0.02559104593959117,22,semi-annual
2193.129303824123,0.043539143586418735,26,quarterly
3279.8596428050596,0.0423084911923449,3,annual
3363.491044992693,0.019820238908736156,15,quarterly
3297.300995398315,0.043450955624644544,24,quarterly
3612.8032794285346,0.047830282878144614,22,quarterly
3608.4130800067555,0.04511077834509932,22,quarterly
2725.673741735896,0.025251521108519612,14,semi-annual
4586.186383404252,0.031646471823181595,21,monthly
2470.247480191586,0.043838425692059986,1,annual
2743.4597010625075,0.03865601710178279,18,quarterly
4567.693420062688,0.038364197605126334,5,quarterly
4224.775956184343,0.021410058444169797,16,monthly
3815.5543341614652,0.034432075597627024,7,monthly
1400.9075492492045,0.01217844462995788,17,semi-annual
4677.930454978694,0.021885895982472384,24,quarterly
3856.9651981964457,0.018111554647625913,13,quarterly
4995.3880262714665,0.025480582971873778,21,semi-annual
1597.793218631975,0.03952918344991509,28,semi-annual
4472.504229472857,0.020421645110919342,15,annual
1649.9717387054993,0.017156603652439012,17,quarterly
3462.238257135377,0.043681427012896325,2,monthly
1495.2799313977662,0.04660391855785612,4,monthly
4392.032917288938,0.027848663853178905,4,semi-annual
4229.275834900043,0.01977991087423371,21,monthly
3276.402954458373,0.020094636072096835,3,annual
2628.733188903999,0.026647195509612594,8,quarterly
1276.667981820552,0.04209771750277775,8,monthly
3789.7150925782544,0.032459267233480055,13,annual
2814.170730712275,0.033093437874378274,23,annual
3888.2223978813918,0.04912629262551147,17,semi-annual
4465.529303714517,0.013107007874478245,3,semi-annual
4902.086020011543,0.029000535732435537,15,monthly
4423.213369570444,0.029176091804623237,3,semi-annual
1046.856336740008,0.032158959030750965,21,quarterly
2439.9122579134555,0.016717609494514455,22,monthly
3919.962249696232,0.01675688593596073,6,annual
1686.518709045762,0.02661794243803254,8,annual
3084.146424816517,0.03424869025165907,26,quarterly
1217.3519533570145,0.022112101001363797,1,annual
1799.9860995856002,0.029900768164657282,3,quarterly
1074.087177842456,0.04947029097327601,20,annual
4174.790813429683,0.011217240695593081,21,quarterly
1895.6987522415207,0.028634691433020054,25,semi-annual
2381.4067227876108,0.028956187893703418,7,annual
4712.325173862364,0.03767225554882183,17,annual
3817.657607694131,0.020656004611496654,19,monthly
1127.3557181252313,0.041997362698772384,26,monthly
1658.7766259916511,0.026039736801059428,17,quarterly
3485.913605999054,0.013806495704753044,29,semi-annual
3308.9143544166704,0.03520241996247834,12,quarterly
1951.5712854980345,0.011055725775980388,28,semi-annual
4736.855991699174,0.038672087745136634,6,monthly
3455.863823863584,0.010485611910422316,5,annual
3142.5312120998333,0.03386680809439166,8,monthly
3359.639905418284,0.04483567917947441,6,semi-annual
3920.4881180670786,0.037936337090477744,4,semi-annual
2247.7799819184074,0.03497375018956076,13,annual
2592.8842488643677,0.027271645011493727,26,semi-annual
1839.3749959004886,0.0234478206762703,22,semi-annual
1744.7720235213446,0.024811820837767173,18,annual
4777.489559935734,0.025001056799269797,26,annual
3958.2031801971502,0.0311953451771841,3,quarterly
2961.835234470268,0.01573320324268082,12,semi-annual
1909.658511893293,0.0452752774053565,24,monthly
2017.425927081572,0.03503502177222459,2,semi-annual
1232.1166412955024,0.0249774491131639,21,semi-annual
2737.6665022324833,0.04928848656458102,28,quarterly
2247.18352797641,0.04490110146501122,23,monthly
3785.373955261838,0.03427264758141285,13,monthly
2511.0073571699236,0.024869952738141552,16,quarterly
1718.414710238539,0.02476375423995369,24,monthly
1098.7149135653249,0.012668269054042867,29,semi-annual
1268.9985258529944,0.023700838831483384,29,semi-annual
3717.571093994269,0.019827369137328528,4,quarterly
2814.7873782241813,0.034342044890616624,6,monthly
3146.316844434889,0.03880653942246014,25,monthly
4586.685172161368,0.0216969924228684,10,annual
4961.355789586818,0.031845899976752884,17,semi-annual
1867.5879375938957,0.04148318572654834,15,quarterly
3652.3128124004033,0.035676152410845374,4,monthly
2053.2895069486026,0.039746452500287494,28,annual
1082.6039978629146,0.018723187508906045,8,monthly
4033.5146153445658,0.03540199572080288,7,monthly
2280.068603289871,0.020951372523650015,14,semi-annual
2533.8555766875916,0.01923002353129716,6,semi-annual
3353.268454214423,0.02083749116614731,19,monthly
4324.193820944762,0.02466102046098666,28,quarterly
3515.927374364595,0.02883761666151819,29,monthly
4490.6026217895815,0.019170457702769053,5,quarterly
2094.1681392625433,0.023998539811671014,4,monthly
4192.187335650255,0.04585986860454514,29,annual
1742.5437772238088,0.01538507630085063,16,monthly
4811.166627887778,0.018628962399655027,29,semi-annual
3749.953105551261,0.01242770771770844,4,quarterly
1862.0307084542337,0.03835524519005034,14,semi-annual
4789.482361955697,0.031176428550846208,24,semi-annual
3923.4232270806315,0.0289728136278602,23,monthly
2015.7665703801033,0.01137660702979885,8,semi-annual
1853.247909469928,0.04845370662055749,6,monthly
3072.802855722653,0.04376309458679588,1,semi-annual
1102.6508722181263,0.04281496432470648,2,quarterly
1829.8803017644377,0.04500869902149906,11,semi-annual
2698.741875006025,0.04108100643713732,4,quarterly
2496.679921336902,0.015577502694872358,1,semi-annual
2854.301697459243,0.048859697239147466,15,monthly
2110.514825178928,0.04734873891760638,19,monthly
3347.137385832675,0.037843084455158923,2,semi-annual
4455.422423692926,0.02168042706112304,15,annual
1470.1274238481324,0.010044444335624516,9,monthly
3069.516428616457,0.029434470776549523,21,annual
1528.2724253806132,0.033792138901489445,29,semi-annual
3867.438724770375,0.04975925292650211,1,annual
2584.2388112291746,0.01531660148198867,8,semi-annual
3261.685247434036,0.013552803899711696,14,quarterly
1733.1193448563145,0.027052737520129592,2,semi-annual
1579.3910373735089,0.04003824889069048,4,semi-annual
2952.225122595818,0.02360281318033383,17,quarterly
2422.4509513998228,0.03649441010763895,22,semi-annual
4761.727781011252,0.04557753546403591,28,monthly
4061.301015227861,0.041726479644134014,15,semi-annual
3994.6544794021893,0.014063834340961026,4,monthly
4614.878958983734,0.027843013085720146,21,annual
1333.6897417680743,0.011519706176954997,25,semi-annual
3208.769879689626,0.016745532977457605,2,annual
3337.9042758230753,0.0408284410607124,16,annual
4847.745514188916,0.016963725273479308,18,annual
2168.5901071701956,0.03235256197239158,20,quarterly
1963.3151196617873,0.03459913944786973,14,semi-annual
1401.1757690619913,0.016265453479795862,7,semi-annual
1065.718518365897,0.046592886502069976,4,semi-annual
4718.117267168762,0.012340073897487671,14,semi-annual
3679.66618636364,0.04676938365842934,7,semi-annual
4140.611648092551,0.014551975486428094,3,annual
2126.9204230157966,0.04603479933368435,8,semi-annual
3345.640664745307,0.02471563707801574,19,annual
1255.8210644839246,0.041593631592117354,2,semi-annual
2942.5103837384913,0.025769505409920186,17,semi-annual
4909.980558977787,0.03932625932203614,13,annual
4506.020981266363,0.04409563021567577,9,semi-annual
2352.6358073473825,0.031017555143048575,29,annual
4846.280618165994,0.026085582682007905,1,monthly
1926.806505884818,0.025785305605493247,29,quarterly
4797.275289662726,0.012263670514663701,14,monthly
4765.510818825995,0.01059262868308759,7,monthly
4196.810349409567,0.03974280537054567,6,quarterly
3521.7917474671644,0.026615979336094116,21,semi-annual
4497.1518664997875,0.016043710737285517,25,semi-annual
2172.081138031187,0.04486147988353478,28,annual
4395.774221251673,0.035510869022518515,13,quarterly
3471.506767670095,0.028980177934250943,15,monthly
1052.947431035598,0.02427939973015639,10,monthly
2388.9340717288783,0.02378985305507814,20,monthly
1592.56344379266,0.024856811230868206,1,annual
4927.317559273013,0.04546217343450478,11,quarterly
2913.4812281599525,0.025144165096417266,21,monthly
2989.565461994651,0.010772657241913338,6,annual
3557.8900655948946,0.015797347666234696,27,semi-annual
2474.3384245184698,0.02384832943825216,16,monthly
1547.6010867423956,0.016654088030125736,19,monthly
4288.4709327769815,0.042919258464246414,27,annual
1759.3916476110319,0.04994926443015075,23,quarterly
3045.275930185824,0.023366520834517922,12,monthly
1897.2681158989571,0.029407453925662304,2,quarterly
1391.3779379761363,0.011904726687256884,12,quarterly
4448.766069686733,0.017778564556054186,26,annual
4891.677956092521,0.019162420221750992,8,annual
4843.338632252,0.025499316565944872,11,semi-annual
4626.221996884716,0.0430566643890024,14,semi-annual
4096.189330794556,0.025968410880870284,21,quarterly
2332.5806081145674,0.039657144381392014,26,annual
1324.405559951987,0.03114359546475124,16,annual
2628.964685655229,0.03654596818853369,16,quarterly
1928.936568683771,0.017888951026704673,26,annual
1529.9505390319318,0.011552472338568638,15,quarterly
1213.708727147301,0.019866818449679406,28,quarterly
3902.377456842315,0.014049306590377331,15,semi-annual
1045.709834500124,0.03810672750335417,23,quarterly
4082.322994011105,0.03276902084846658,7,annual
1587.7865816015,0.041747537895893506,18,annual
1318.088330347023,0.026103855740569643,28,monthly
1358.4121369544216,0.020419686616100996,27,semi-annual
3688.1912294156577,0.04444163421939842,8,annual
1981.4688394113791,0.03262122099393753,28,semi-annual
2682.157866720394,0.028915951886776176,14,monthly
3229.4751652956675,0.04565374996233422,18,annual
4442.204695315175,0.02391250253505458,17,quarterly
3908.1770508453133,0.026356088045561242,15,annual
2081.311620954859,0.020297783135135906,20,annual
1525.9311971645104,0.015308300779408777,7,annual
1221.4972816847917,0.03283584313580204,24,quarterly
2206.3945379237703,0.04685368528141889,4,annual
2048.472596958713,0.03595209235700908,14,quarterly
2824.5622672019185,0.036554416940719675,26,quarterly
3733.1253421907218,0.04433695440522705,18,quarterly
3782.5017825554287,0.03800484196589294,14,semi-annual
2134.0753863286664,0.02503761721111019,21,annual
2519.707823600482,0.042133004338457576,29,quarterly
1724.603846947612,0.014959894846545061,9,monthly
4154.182049226075,0.044858757533753825,5,monthly
1227.3923057329612,0.03036567451383014,8,annual
3787.9889668999494,0.031832858063517676,12,monthly
4114.781583764414,0.04690702409634005,15,quarterly
4109.630247395013,0.03730719557241229,17,quarterly
2037.6902573814198,0.0131267393912694,12,monthly
2495.2525517302456,0.020116241261970993,7,quarterly
